
Host: gr031.hpc.nyu.edu

Timers On : Sun Dec 17 16:07:15 2023
Timers Off: Sun Dec 17 16:11:07 2023

Wall Time:      231.53 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JKGrad: UV                          :      0.033u      0.017s      0.017w      3 calls
JKGrad: ABx                         :      0.150u      0.000s      0.093w      3 calls
JKGrad: Amnx                        :      0.917u      0.017s      0.560w      3 calls
Grad: XC                            :      0.000u      0.000s      0.000w      3 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.000s      0.023w      3 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w      3 calls
DFH: initialize()                   :      0.767u      0.033s      0.484w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.011w      6 calls
| DFH: AO Construction              :      0.283u      0.017s      0.181w      3 calls
| DFH: AO-Met. Contraction          :      0.067u      0.000s      0.035w      3 calls
HF: Form core H                     :      0.017u      0.000s      0.009w      3 calls
HF: Form S/X                        :      0.017u      0.000s      0.001w      3 calls
HF: Guess                           :      0.050u      0.000s      0.033w      3 calls
| SAD Guess                         :      0.050u      0.000s      0.031w      1 calls
HF: Form G                          :      0.150u      0.000s      0.056w     21 calls
| JK: D                             :      0.017u      0.000s      0.000w     21 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     21 calls
| JK: JK                            :      0.133u      0.000s      0.055w     21 calls
| | DFH: compute_JK()               :      0.133u      0.000s      0.055w     21 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     21 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.009w     21 calls
| | | DFH: compute_K                :      0.117u      0.000s      0.039w     21 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     21 calls
HF: Form F                          :      0.000u      0.000s      0.000w     21 calls
HF: Form D                          :      0.000u      0.000s      0.000w     21 calls
HF: DIIS                            :      0.183u      0.067s      0.720w     20 calls
HF: Form C                          :      0.017u      0.000s      0.010w     20 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.011w      3 calls
Grad: S                             :      0.017u      0.000s      0.002w      3 calls
Grad: JK                            :      1.817u      0.050s      1.126w      3 calls
| JKGrad: Amn                       :      0.333u      0.017s      0.207w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.010w      3 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      3 calls
| JKGrad: AB                        :      0.383u      0.000s      0.244w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      3 calls
| JKGrad: UV                        :      0.033u      0.017s      0.017w      3 calls
| JKGrad: ABx                       :      0.150u      0.000s      0.093w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      3 calls
| JKGrad: Amnx                      :      0.917u      0.017s      0.560w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.010w      3 calls
Grad: XC                            :      0.000u      0.000s      0.000w      3 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w      2 calls

**************************************************************************************
